Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Type=Controlled; Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:04:37Z
Created_By	Taylor & Francis

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Canadian Journal of Plant Pathology	Taylor & Francis		Taylor & Francis Online	10.1080/tcjp20	tandf:tcjp20	0706-0661	1715-2992		Unique_Item_Requests	1	1	0
Canadian Journal of Plant Pathology	Taylor & Francis		Taylor & Francis Online	10.1080/tcjp20	tandf:tcjp20	0706-0661	1715-2992		Total_Item_Requests	1	1	0
Canadian Water Resources Journal / Revue canadienne des ressources hydriques	Taylor & Francis		Taylor & Francis Online	10.1080/tcwr20	tandf:tcwr20	0701-1784	1918-1817		Unique_Item_Requests	6	6	0
Canadian Water Resources Journal / Revue canadienne des ressources hydriques	Taylor & Francis		Taylor & Francis Online	10.1080/tcwr20	tandf:tcwr20	0701-1784	1918-1817		Total_Item_Requests	11	11	0
Capitalism Nature Socialism	Routledge		Taylor & Francis Online	10.1080/rcns20	tandf:rcns20	1045-5752	1548-3290		Unique_Item_Requests	2	2	0
Capitalism Nature Socialism	Routledge		Taylor & Francis Online	10.1080/rcns20	tandf:rcns20	1045-5752	1548-3290		Total_Item_Requests	2	2	0
Carbon Management	Taylor & Francis		Taylor & Francis Online	10.1080/tcmt20	tandf:tcmt20	1758-3004	1758-3012		Unique_Item_Requests	1	1	0
Carbon Management	Taylor & Francis		Taylor & Francis Online	10.1080/tcmt20	tandf:tcmt20	1758-3004	1758-3012		Total_Item_Requests	1	1	0
Childhood Education	Routledge		Taylor & Francis Online	10.1080/uced20	tandf:uced20	0009-4056	2162-0725		Unique_Item_Requests	1	1	0
Childhood Education	Routledge		Taylor & Francis Online	10.1080/uced20	tandf:uced20	0009-4056	2162-0725		Total_Item_Requests	5	5	0
Climate Policy	Taylor & Francis		Taylor & Francis Online	10.1080/tcpo20	tandf:tcpo20	1469-3062	1752-7457		Unique_Item_Requests	3	3	0
Climate Policy	Taylor & Francis		Taylor & Francis Online	10.1080/tcpo20	tandf:tcpo20	1469-3062	1752-7457		Total_Item_Requests	5	5	0
Clinical Gerontologist	Routledge		Taylor & Francis Online	10.1080/wcli20	tandf:wcli20	0731-7115	1545-2301		Unique_Item_Requests	2	2	0
Clinical Gerontologist	Routledge		Taylor & Francis Online	10.1080/wcli20	tandf:wcli20	0731-7115	1545-2301		Total_Item_Requests	3	3	0
Cognition and Emotion	Routledge		Taylor & Francis Online	10.1080/pcem20	tandf:pcem20	0269-9931	1464-0600		Unique_Item_Requests	3	3	0
Cognition and Emotion	Routledge		Taylor & Francis Online	10.1080/pcem20	tandf:pcem20	0269-9931	1464-0600		Total_Item_Requests	3	3	0
Cognitive Behaviour Therapy	Routledge		Taylor & Francis Online	10.1080/sbeh20	tandf:sbeh20	1650-6073	1651-2316		Unique_Item_Requests	1	1	0
Cognitive Behaviour Therapy	Routledge		Taylor & Francis Online	10.1080/sbeh20	tandf:sbeh20	1650-6073	1651-2316		Total_Item_Requests	1	1	0
Cold War History	Routledge		Taylor & Francis Online	10.1080/fcwh20	tandf:fcwh20	1468-2745	1743-7962		Unique_Item_Requests	3	3	0
Cold War History	Routledge		Taylor & Francis Online	10.1080/fcwh20	tandf:fcwh20	1468-2745	1743-7962		Total_Item_Requests	4	4	0
Collection Management	Routledge		Taylor & Francis Online	10.1080/wcol20	tandf:wcol20	0146-2679	1545-2549		Unique_Item_Requests	2	2	0
Collection Management	Routledge		Taylor & Francis Online	10.1080/wcol20	tandf:wcol20	0146-2679	1545-2549		Total_Item_Requests	2	2	0
Communication and Critical/Cultural Studies	Routledge		Taylor & Francis Online	10.1080/rccc20	tandf:rccc20	1479-1420	1479-4233		Unique_Item_Requests	1	1	0
Communication and Critical/Cultural Studies	Routledge		Taylor & Francis Online	10.1080/rccc20	tandf:rccc20	1479-1420	1479-4233		Total_Item_Requests	2	2	0
Communications in Soil Science and Plant Analysis	Taylor & Francis		Taylor & Francis Online	10.1080/lcss20	tandf:lcss20	0010-3624	1532-2416		Unique_Item_Requests	1	1	0
